,n_pos_enc_params,_timestamp,dev accuracy,n_clas_params,n_circ_params,train accuracy,_step,_runtime,n_all_params,loss,dev loss,total epoch time,epoch,batch loss,n_bias_params,train F1,dev F1,dev eval epoch time,train epoch time,run_id,n_batch_norm_params
15840,,1715342258.1024697,0.6869266055045872,,,0.7121857785564745,15840,4592.792724609375,,0.004417132478767175,0.0027884771244241556,75.94003019332885,29.0,,,0.7351478384434607,0.7086446104589115,0.20592161417007446,75.73410857915879,mo5x80pt,
528,,1715333256.0614707,0.6811926605504587,,,0.6019094567105674,528,188.2075698375702,,0.005269400453841505,0.002874944324887127,2.519985536734263,0.0,,,0.6237316679531261,0.7004310344827587,0.006703289349873861,2.513282247384389,r1lni1s3,
1056,,1715333407.6971252,0.6892201834862385,,,0.6553920622429434,1056,339.8432242870331,,0.004924556292461502,0.0027814239536950347,5.047241830825806,1.0,,,0.6918982065340041,0.7174139728884255,0.01335498094558716,5.0338868498802185,r1lni1s3,
1584,,1715333560.1926374,0.6869266055045872,,,0.6653402426168169,1584,492.33873653411865,,0.004837674563349742,0.002765314636427328,7.588828825950623,2.0,,,0.7013554875382597,0.7153284671532847,0.020174773534138997,7.568654052416484,r1lni1s3,
2112,,1715333712.326728,0.694954128440367,,,0.6787628621063416,2112,644.4728271961212,,0.004724907422643116,0.0028062714349239245,10.124392890930176,3.0,,,0.7105956632823682,0.7164179104477612,0.026861357688903808,10.097531533241273,r1lni1s3,
2640,,1715333864.0733373,0.6938073394495413,,,0.6855187159423303,2640,796.2194364070892,,0.004644371460189596,0.002806563374646213,12.65349895954132,4.0,,,0.7148166101147196,0.7168610816542949,0.03370340665181478,12.619795552889506,r1lni1s3,
3168,,1715334015.4222481,0.694954128440367,,,0.6882210574767257,3168,947.5683472156525,,0.0045913397273740645,0.0028045146016899597,15.175976753234863,5.0,,,0.7162048925530478,0.7139784946236559,0.04061276515324911,15.135363988081615,r1lni1s3,
3696,,1715334167.0082595,0.7029816513761468,,,0.6933139319069326,3696,1099.154358625412,,0.004554912144591664,0.002842799512618179,17.70240613222122,6.0,,,0.7196242652947644,0.7218045112781954,0.04736028909683228,17.65504584312439,r1lni1s3,
4224,,1715334318.915618,0.7098623853211009,,,0.6969813954178978,4224,1251.0617170333862,,0.004517961241187942,0.0027208579789607897,20.23419137795766,7.0,,,0.7228153098090349,0.728249194414608,0.05429779688517253,20.17989358107249,r1lni1s3,
4752,,1715334470.7543862,0.7075688073394495,,,0.699193751948804,4752,1402.900485277176,,0.004498095043794207,0.0027382064166419,22.764833486080168,8.0,,,0.7246932202698846,0.7231270358306189,0.06100881099700928,22.703824675083162,r1lni1s3,
5280,,1715334622.0977054,0.7064220183486238,,,0.7018812454527907,5280,1554.2438044548035,,0.0044712479148977125,0.002783705813622256,25.28721750179926,9.0,,,0.7258526994183347,0.7235421166306696,0.06806601683298746,25.21915148496628,r1lni1s3,
5808,,1715334773.917831,0.7064220183486238,,,0.7040639059228794,5808,1706.0639300346375,,0.004473328823593617,0.002812856791216299,27.81754797697067,10.0,,,0.7285381566581768,0.7223427331887202,0.07486021121342977,27.742687765757243,r1lni1s3,
